,0
0,California
1,Colorado
2,Connecticut
3,Idaho
4,Iowa
5,Louisiana
6,Maine
7,Maryland
8,Michigan
9,Minnesota
10,Montana
11,Nebraska
12,North Carolina
13,Ohio
14,Oklahoma
15,South Carolina
